strategy	n_threads	n_cols	n_rows	iterations	min	max	diff	avg	time	flops
seq	2	50	100	10000	2.623901e+01	7.842270e+01	1.601055e-03	6.680352e+01	1.336829e-01	4.493577e+09	
pth	2	50	100	10000	2.623901e+01	7.842270e+01	1.601055e-03	6.680352e+01	3.294429e-01	1.823425e+09	
omp	2	50	100	10000	2.623901e+01	7.842270e+01	1.601055e-03	6.680352e+01	1.477440e-01	4.065913e+09	
seq	2	100	50	10000	2.250827e+01	8.879608e+01	1.966097e-03	5.759763e+01	1.026473e-01	5.852219e+09	
pth	2	100	50	10000	2.250827e+01	8.879608e+01	1.966097e-03	5.759763e+01	3.283581e-01	1.829449e+09	
omp	2	100	50	10000	2.250827e+01	8.879608e+01	1.966097e-03	5.759763e+01	1.387851e-01	4.328379e+09	
seq	2	100	200	10000	2.067515e+01	9.723871e+01	1.468212e-03	7.848964e+01	4.254317e-01	5.648044e+09	
pth	2	100	200	10000	2.067515e+01	9.723871e+01	1.468212e-03	7.848964e+01	4.628981e-01	5.190899e+09	
omp	2	100	200	10000	2.067515e+01	9.723871e+01	1.468212e-03	7.848964e+01	3.005155e-01	7.995784e+09	
seq	2	200	100	10000	2.177842e+01	9.890898e+01	1.457562e-03	7.282127e+01	3.757995e-01	6.393987e+09	
pth	2	200	100	10000	2.177842e+01	9.890898e+01	1.457562e-03	7.282127e+01	4.780613e-01	5.026254e+09	
omp	2	200	100	10000	2.177842e+01	9.890898e+01	1.457562e-03	7.282127e+01	3.119198e-01	7.703445e+09	
seq	2	100	1000	10000	2.792779e+01	9.927205e+01	1.900957e-03	8.717685e+01	1.679490e+00	7.153531e+09	
pth	2	100	1000	10000	2.792779e+01	9.927205e+01	1.900957e-03	8.717685e+01	1.216942e+00	9.872522e+09	
omp	2	100	1000	10000	2.792779e+01	9.927205e+01	1.900957e-03	8.717685e+01	1.103944e+00	1.088305e+10	
seq	2	1000	100	10000	2.012168e+01	9.709574e+01	1.611490e-03	7.191693e+01	1.385051e+00	8.674255e+09	
pth	2	1000	100	10000	2.012168e+01	9.709574e+01	1.611490e-03	7.191693e+01	9.830587e-01	1.222133e+10	
omp	2	1000	100	10000	2.012168e+01	9.709574e+01	1.611490e-03	7.191693e+01	1.082255e+00	1.110116e+10	
seq	2	100	2000	10000	2.247003e+01	9.919370e+01	1.660900e-03	8.831761e+01	3.320873e+00	7.235619e+09	
pth	2	100	2000	10000	2.247003e+01	9.919370e+01	1.660900e-03	8.831761e+01	2.146210e+00	1.119582e+10	
omp	2	100	2000	10000	2.247003e+01	9.919370e+01	1.660900e-03	8.831761e+01	2.056248e+00	1.168564e+10	
seq	2	2000	100	10000	1.965332e+01	9.838499e+01	1.786453e-03	7.190366e+01	2.739890e+00	8.769902e+09	
