buffer_size	input_size	time_s
2048	30000	6.416405e+00
2048	30000	6.406608e+00
2048	30000	6.358956e+00
2048	30000	6.384489e+00
2048	30000	6.416293e+00
1024	30000	6.144639e+00
1024	30000	6.246095e+00
1024	30000	6.191191e+00
1024	30000	6.152181e+00
1024	30000	6.171052e+00
512	30000	5.878704e+00
512	30000	6.221822e+00
512	30000	5.930280e+00
512	30000	5.942613e+00
512	30000	5.940171e+00
256	30000	5.742547e+00
256	30000	6.099661e+00
256	30000	6.082795e+00
256	30000	6.022846e+00
256	30000	5.900550e+00
256	30000	5.920876e+00
128	30000	6.440230e+00
128	30000	6.527529e+00
128	30000	6.835113e+00
128	30000	6.421629e+00
128	30000	6.183405e+00
64	30000	7.387556e+00
64	30000	6.945287e+00
64	30000	9.266172e+00
64	30000	1.137205e+01
64	30000	9.339322e+00
32	30000	1.792098e+01
32	30000	2.395063e+01
32	30000	1.314311e+01
32	30000	1.420484e+01
32	30000	1.433604e+01
16	30000	2.976797e+01
16	30000	2.566938e+01
16	30000	4.049312e+01
16	30000	3.600823e+01
16	30000	3.621955e+01
16	1000	7.312238e-02
16	1000	5.569668e-02
16	1000	5.246710e-02
16	1000	4.933907e-02
16	1000	4.803559e-02
16	2000	1.310973e-01
16	2000	1.334148e-01
16	2000	1.314147e-01
16	2000	1.202030e-01
16	2000	1.130314e-01
16	3000	2.207451e-01
16	3000	2.354035e-01
16	3000	2.079214e-01
16	3000	2.085349e-01
16	3000	2.071091e-01
16	4000	3.282877e-01
16	4000	3.673730e-01
16	4000	3.252705e-01
16	4000	3.854405e-01
16	4000	3.358978e-01
16	5000	4.499919e-01
16	5000	4.744546e-01
16	5000	4.392039e-01
16	5000	4.514909e-01
16	5000	4.625397e-01
16	6000	6.371720e-01
16	6000	6.300318e-01
16	6000	6.542413e-01
16	6000	6.342145e-01
16	6000	6.696875e-01
16	7000	8.311235e-01
16	7000	8.401508e-01
16	7000	8.283409e-01
16	7000	8.277249e-01
16	7000	8.014979e-01
16	8000	1.046769e+00
16	8000	9.913967e-01
16	8000	1.011507e+00
16	8000	9.730674e-01
16	8000	1.005268e+00
16	9000	1.352992e+00
16	9000	1.272878e+00
16	9000	1.316282e+00
16	9000	1.191040e+00
16	9000	1.287761e+00
16	10000	1.618362e+00
16	10000	1.649593e+00
16	10000	1.521551e+00
16	10000	1.725616e+00
16	10000	1.684458e+00
16	11000	2.017654e+00
16	11000	1.834107e+00
16	11000	1.818981e+00
16	11000	1.868916e+00
16	11000	1.824137e+00
16	12000	2.214504e+00
16	12000	2.203090e+00
16	12000	2.374601e+00
16	12000	2.208805e+00
