idx	input_file	strategy	time	tflops	tmin	tmax	tdif	tavg	compiler	flags	n_cols	n_rows	period	max_iter	threshold
0	areas_100x150.pgm	seq	0.002763416	656795800.0	26.3895	79.38623	0.04238701	48.33468	gcc	-O2 -mavx2 -mfma	100	150	10	10	1e-05
1	areas_100x150.pgm	simd	0.000953615	1903284000.0	26.44264	79.34817	0.04238701	48.33468	gcc	-O2 -mavx2 -mfma	100	150	10	10	1e-05
2	areas_100x150.pgm	seq	0.002632671	684855800.0	26.3895	79.38623	0.04238701	48.33468	gcc	-O2 -mavx2 -mfma	100	150	50	10	1e-05
3	areas_100x150.pgm	simd	0.000482132	3739640000.0	26.44264	79.34817	0.04238701	48.33468	gcc	-O2 -mavx2 -mfma	100	150	50	10	1e-05
4	areas_100x150.pgm	seq	0.002090789	861636400.0	26.3895	79.38623	0.04238701	48.33468	gcc	-O2 -mavx2 -mfma	100	150	100	10	1e-05
5	areas_100x150.pgm	simd	0.000602938	2987869000.0	26.44264	79.34817	0.04238701	48.33468	gcc	-O2 -mavx2 -mfma	100	150	100	10	1e-05
6	areas_100x150.pgm	seq	0.001710584	1061041000.0	26.3895	79.38623	0.04238701	48.33468	gcc	-O2 -mavx2 -mfma	100	150	10	10	0.0001
7	areas_100x150.pgm	simd	0.000369508	4911937000.0	26.44264	79.34817	0.04238701	48.33468	gcc	-O2 -mavx2 -mfma	100	150	10	10	0.0001
8	areas_100x150.pgm	seq	0.001259675	1431322000.0	26.3895	79.38623	0.04238701	48.33468	gcc	-O2 -mavx2 -mfma	100	150	50	10	0.0001
9	areas_100x150.pgm	simd	0.000358392	5030804000.0	26.44264	79.34817	0.04238701	48.33468	gcc	-O2 -mavx2 -mfma	100	150	50	10	0.0001
10	areas_100x150.pgm	seq	0.00281024	641048500.0	26.3895	79.38623	0.04238701	48.33468	gcc	-O2 -mavx2 -mfma	100	150	100	10	0.0001
11	areas_100x150.pgm	simd	0.000712015	2530143000.0	26.44264	79.34817	0.04238701	48.33468	gcc	-O2 -mavx2 -mfma	100	150	100	10	0.0001
12	areas_100x150.pgm	seq	0.002333065	777946600.0	26.3895	79.38623	0.04238701	48.33468	gcc	-O2 -mavx2 -mfma	100	150	10	10	0.001
13	areas_100x150.pgm	simd	0.000526065	3450144000.0	26.44264	79.34817	0.04238701	48.33468	gcc	-O2 -mavx2 -mfma	100	150	10	10	0.001
14	areas_100x150.pgm	seq	0.001681705	1072126000.0	26.3895	79.38623	0.04238701	48.33468	gcc	-O2 -mavx2 -mfma	100	150	50	10	0.001
