idx	version	outer	inner_min	inner_max	adr	time
0	parallel_presorted	10	10	100000	random	4.476100e-02
1	parallel_presorted	100	10	100000	random	3.880094e-01
2	parallel_presorted	1000	10	100000	random	8.037316e-01
3	parallel_presorted	10000	10	100000	random	9.134733e+00
4	parallel_autovectorized	10	10	100000	random	4.715640e-02
5	parallel_autovectorized	100	10	100000	random	3.921817e-01
6	parallel_autovectorized	1000	10	100000	random	7.162792e-01
7	parallel_autovectorized	10000	10	100000	random	1.117067e+01
8	sequential	10	10	100000	random	4.000200e-02
9	sequential	100	10	100000	random	3.350126e-01
10	sequential	1000	10	100000	random	3.434883e+00
11	sequential	10000	10	100000	random	3.531814e+01
12	parallel	10	10	100000	random	4.872190e-02
13	parallel	100	10	100000	random	4.556213e-01
14	parallel	1000	10	100000	random	8.919061e-01
15	parallel	10000	10	100000	random	1.204123e+01
