idx	input_file	strategy	time	tflops	tmin	tmax	tdif	tavg	compiler	flags	n_cols	n_rows	period	max_iter	threshold
0	areas_100x150.pgm	seq	0.002446137	741986200.0	26.3895	79.38623	0.04238701	48.33468	icc	-O2 -march=core-avx2	100	150	10	10	1e-05
1	areas_100x150.pgm	simd	0.000957046	1896461000.0	26.44264	79.34817	0.04238701	48.33468	icc	-O2 -march=core-avx2	100	150	10	10	1e-05
2	areas_100x150.pgm	seq	0.002463186	731978800.0	26.3895	79.38623	0.04238701	48.33468	icc	-O2 -march=core-avx2	100	150	50	10	1e-05
3	areas_100x150.pgm	simd	0.000867231	2079031000.0	26.44264	79.34817	0.04238701	48.33468	icc	-O2 -march=core-avx2	100	150	50	10	1e-05
4	areas_100x150.pgm	seq	0.002231163	807426400.0	26.3895	79.38623	0.04238701	48.33468	icc	-O2 -march=core-avx2	100	150	100	10	1e-05
5	areas_100x150.pgm	simd	0.00074803	2408326000.0	26.44264	79.34817	0.04238701	48.33468	icc	-O2 -march=core-avx2	100	150	100	10	1e-05
6	areas_100x150.pgm	seq	0.001818783	997920000.0	26.3895	79.38623	0.04238701	48.33468	icc	-O2 -march=core-avx2	100	150	10	10	0.0001
7	areas_100x150.pgm	simd	0.000610484	2973051000.0	26.44264	79.34817	0.04238701	48.33468	icc	-O2 -march=core-avx2	100	150	10	10	0.0001
8	areas_100x150.pgm	seq	0.001522964	1183876000.0	26.3895	79.38623	0.04238701	48.33468	icc	-O2 -march=core-avx2	100	150	50	10	0.0001
9	areas_100x150.pgm	simd	0.000675599	2668743000.0	26.44264	79.34817	0.04238701	48.33468	icc	-O2 -march=core-avx2	100	150	50	10	0.0001
10	areas_100x150.pgm	seq	0.003303826	545276900.0	26.3895	79.38623	0.04238701	48.33468	icc	-O2 -march=core-avx2	100	150	100	10	0.0001
11	areas_100x150.pgm	simd	0.00105742	1703675000.0	26.44264	79.34817	0.04238701	48.33468	icc	-O2 -march=core-avx2	100	150	100	10	0.0001
12	areas_100x150.pgm	seq	0.00256114	708668800.0	26.3895	79.38623	0.04238701	48.33468	icc	-O2 -march=core-avx2	100	150	10	10	0.001
13	areas_100x150.pgm	simd	0.000798358	2273416000.0	26.44264	79.34817	0.04238701	48.33468	icc	-O2 -march=core-avx2	100	150	10	10	0.001
14	areas_100x150.pgm	seq	0.002195706	821148200.0	26.3895	79.38623	0.04238701	48.33468	icc	-O2 -march=core-avx2	100	150	50	10	0.001
15	areas_100x150.pgm	simd	0.000682848	2640412000.0	26.44264	79.34817	0.04238701	48.33468	icc	-O2 -march=core-avx2	100	150	50	10	0.001
16	areas_100x150.pgm	seq	0.001907091	944632400.0	26.3895	79.38623	0.04238701	48.33468	icc	-O2 -march=core-avx2	100	150	100	10	0.001
17	areas_100x150.pgm	simd	0.000644875	2793565000.0	26.44264	79.34817	0.04238701	48.33468	icc	-O2 -march=core-avx2	100	150	100	10	0.001
18	areas_100x150.pgm	seq	0.001926571	942088300.0	26.3895	79.38623	0.04238701	48.33468	icc	-O2 -march=core-avx2	100	150	10	10	0.01
19	areas_100x150.pgm	simd	0.000650968	2788155000.0	26.44264	79.34817	0.04238701	48.33468	icc	-O2 -march=core-avx2	100	150	10	10	0.01
20	areas_100x150.pgm	seq	0.002516228	716548700.0	26.3895	79.38623	0.04238701	48.33468	icc	-O2 -march=core-avx2	100	150	50	10	0.01
