idx	version	outer	inner_min	inner_max	adr	time
0	sequential	10	10	100000	random	4.000200e-02
1	sequential	100	10	100000	random	3.350126e-01
2	sequential	1000	10	100000	random	3.434883e+00
3	sequential	10000	10	100000	random	3.531814e+01
4	parallel_static	10	10	100000	random	4.666670e-02
5	parallel_static	100	10	100000	random	3.874537e-01
6	parallel_static	1000	10	100000	random	1.257789e+00
7	parallel_static	10000	10	100000	random	1.332709e+01
8	parallel_dynamic_small_chunk_size	10	10	100000	random	5.513030e-02
9	parallel_dynamic_small_chunk_size	100	10	100000	random	1.090628e-01
10	parallel_dynamic_small_chunk_size	1000	10	100000	random	9.903401e-01
11	parallel_dynamic_small_chunk_size	10000	10	100000	random	1.177141e+01
12	parallel_dynamic_medium_chunk_size	10	10	100000	random	4.709600e-02
13	parallel_dynamic_medium_chunk_size	100	10	100000	random	2.695875e-01
14	parallel_dynamic_medium_chunk_size	1000	10	100000	random	1.268312e+00
15	parallel_dynamic_medium_chunk_size	10000	10	100000	random	1.256418e+01
16	parallel_dynamic_large_chunk_size	10	10	100000	random	4.872190e-02
17	parallel_dynamic_large_chunk_size	100	10	100000	random	4.556213e-01
18	parallel_dynamic_large_chunk_size	1000	10	100000	random	8.919061e-01
19	parallel_dynamic_large_chunk_size	10000	10	100000	random	1.204123e+01
20	parallel_guided_small_chunk_size	10	10	100000	random	5.045460e-02
21	parallel_guided_small_chunk_size	100	10	100000	random	9.658680e-02
22	parallel_guided_small_chunk_size	1000	10	100000	random	1.138570e+00
23	parallel_guided_small_chunk_size	10000	10	100000	random	1.215205e+01
24	parallel_guided_medium_chunk_size	10	10	100000	random	4.774030e-02
25	parallel_guided_medium_chunk_size	100	10	100000	random	2.780053e-01
26	parallel_guided_medium_chunk_size	1000	10	100000	random	1.508328e+00
27	parallel_guided_medium_chunk_size	10000	10	100000	random	1.213443e+01
28	parallel_guided_large_chunk_size	10	10	100000	random	5.368300e-02
29	parallel_guided_large_chunk_size	100	10	100000	random	4.469574e-01
30	parallel_guided_large_chunk_size	1000	10	100000	random	8.327325e-01
31	parallel_guided_large_chunk_size	10000	10	100000	random	1.207186e+01
